,Date,Open,High,Low,Close,Volume,Market Cap
0,2021-05-09,4e-08,6e-08,4e-08,4e-08,1517249.35,0
1,2021-05-08,3e-08,5e-08,2e-08,4e-08,1650545.13,0
2,2021-05-07,4e-08,5e-08,2e-08,3e-08,679334.09,0
3,2021-05-06,5e-08,5e-08,4e-08,4e-08,1078888.55,0
4,2021-05-05,4e-08,6e-08,4e-08,5e-08,961918.2,0
5,2021-05-04,1.2e-07,1.5e-07,1e-08,4e-08,1009538.68,0
6,2021-05-03,1.2e-07,2.1e-07,1.1e-07,1.2e-07,1490831.28,0
7,2021-05-02,1.1e-07,1.6e-07,1e-07,1.2e-07,1034729.76,0
8,2021-05-01,1.4e-07,1.7e-07,1e-07,1.1e-07,1595920.63,0
9,2021-04-30,4e-08,1.9e-07,4e-08,1.4e-07,3255229.17,0
10,2021-04-29,5e-08,6e-08,3e-08,4e-08,1164551.89,0
11,2021-04-28,4e-08,5e-08,3e-08,5e-08,2273703.01,0
12,2021-04-27,3e-08,6e-08,3e-08,4e-08,6059857.01,0
