,Date,Open,High,Low,Close,Volume,Market Cap
0,2021-05-09,4.6e-07,6.2e-07,3e-07,3.8e-07,47400336.17,0
1,2021-05-08,2.6e-07,5.2e-07,2.5e-07,4.6e-07,43586677.72,0
2,2021-05-07,3.2e-07,3.4e-07,2.1e-07,2.6e-07,17266839.14,0
3,2021-05-06,3e-07,3.5e-07,2.8e-07,3.2e-07,12066365.06,0
4,2021-05-05,1.9e-07,3.3e-07,1.9e-07,3e-07,19738773.63,0
5,2021-05-04,1.8e-07,2e-07,1.7e-07,1.9e-07,4409333.81,0
6,2021-05-03,1.7e-07,2.1e-07,1.6e-07,1.8e-07,9215426.85,0
7,2021-05-02,2.8e-07,2.8e-07,1.3e-07,1.7e-07,19500753.9,0
8,2021-05-01,2.2e-07,3.1e-07,2.1e-07,2.8e-07,12133358.32,0
9,2021-04-30,2.8e-07,2.9e-07,2e-07,2.2e-07,16929069.67,0
10,2021-04-29,2.6e-07,3.6e-07,2.2e-07,2.8e-07,42143816.09,0
11,2021-04-28,2.4e-07,4.3e-07,2.3e-07,2.6e-07,84851089.34,0
12,2021-04-27,1.1e-07,2.6e-07,1.1e-07,2.4e-07,37492591.63,0
13,2021-04-26,7e-08,1.6e-07,6e-08,1.1e-07,30621744.68,0
14,2021-04-25,1e-07,1.1e-07,5e-08,7e-08,14962631.12,0
15,2021-04-24,5e-08,1.4e-07,4e-08,1e-07,51157782.85,0
16,2021-04-23,0.0,1.8e-07,0.0,5e-08,523816.78,0
