,Date,Open,High,Low,Close,Volume,Market Cap
0,2021-05-09,5.8e-07,8.1e-07,5.7e-07,8.1e-07,7648686.5,0
1,2021-05-08,5.8e-07,5.9e-07,5.3e-07,5.7e-07,4841675.3,0
2,2021-05-07,5.5e-07,6.3e-07,5.4e-07,5.8e-07,4673471.9,0
3,2021-05-06,4.1e-07,5.6e-07,3.9e-07,5.5e-07,4539465.11,0
4,2021-05-05,3.9e-07,4.2e-07,3.9e-07,4.1e-07,3006338.34,0
5,2021-05-04,4.9e-07,4.9e-07,3.9e-07,3.9e-07,2544927.32,0
6,2021-05-03,5.1e-07,5.2e-07,4.7e-07,4.9e-07,3671819.67,0
7,2021-05-02,5.2e-07,5.3e-07,4.8e-07,5.1e-07,3499802.97,0
8,2021-05-01,6.2e-07,6.2e-07,5.1e-07,5.2e-07,4918703.56,0
9,2021-04-30,4.4e-07,6.2e-07,4.1e-07,6.2e-07,4793365.13,0
10,2021-04-29,3.7e-07,4.5e-07,3.6e-07,4.4e-07,4001113.44,0
11,2021-04-28,4.2e-07,4.3e-07,3.7e-07,3.7e-07,4698041.08,0
12,2021-04-27,4.5e-07,5.2e-07,4.2e-07,4.2e-07,6857642.57,0
13,2021-04-26,5.6e-07,5.7e-07,4.3e-07,4.5e-07,10221500.13,0
14,2021-04-25,6.9e-07,7e-07,3.8e-07,5.6e-07,14772652.24,0
15,2021-04-24,5.5e-07,7.1e-07,4.9e-07,6.9e-07,9567300.99,0
16,2021-04-23,7.1e-07,7.4e-07,5.1e-07,5.5e-07,12979930.09,0
17,2021-04-22,5.8e-07,9.4e-07,5.7e-07,7.1e-07,27991412.3,0
18,2021-04-21,7.8e-07,1.09e-06,5.7e-07,5.8e-07,11729296.0,0
19,2021-04-20,3.4e-07,7.8e-07,3.3e-07,7.8e-07,5578568.18,0
20,2021-04-19,2.1e-07,3.4e-07,2.1e-07,3.4e-07,3437523.83,0
21,2021-04-18,2.6e-07,2.7e-07,2e-07,2.1e-07,4099581.53,0
22,2021-04-17,1.6e-07,2.7e-07,1.5e-07,2.7e-07,5559601.23,0
23,2021-04-16,1.8e-07,1.8e-07,1.6e-07,1.6e-07,5807974.64,0
24,2021-04-15,1.7e-07,1.8e-07,1.7e-07,1.8e-07,5595606.95,0
25,2021-04-14,1.9e-07,1.9e-07,1.1e-07,1.7e-07,5466775.3,0
26,2021-04-13,2.1e-07,2.1e-07,1.9e-07,1.9e-07,9807204.54,0
27,2021-04-12,1.9e-07,2.2e-07,1.8e-07,2.1e-07,18509935.54,0
28,2021-04-11,2.6e-07,2.6e-07,1.8e-07,1.9e-07,17717983.73,0
29,2021-04-10,1.6e-07,2.6e-07,1.5e-07,2.6e-07,20030284.72,0
30,2021-04-09,8e-08,1.6e-07,8e-08,1.6e-07,11730537.3,0
31,2021-04-08,8e-08,9e-08,8e-08,8e-08,5482591.76,0
