,Date,Open,High,Low,Close,Volume,Market Cap
0,2021-05-09,4e-08,8e-08,3e-08,5e-08,3724767.99,0
1,2021-05-08,4e-08,1e-07,3e-08,4e-08,3749903.63,0
2,2021-05-07,2e-08,4e-08,2e-08,4e-08,1295334.72,0
3,2021-05-06,3e-08,4e-08,2e-08,2e-08,255663.84,0
4,2021-05-05,2e-08,4e-08,2e-08,3e-08,1234934.63,0
5,2021-05-04,1e-08,3e-08,1e-08,2e-08,580646.93,0
6,2021-05-03,1e-08,2e-08,1e-08,1e-08,0.0,0
7,2021-05-02,2e-08,2e-08,1e-08,1e-08,10378.2,0
8,2021-05-01,2e-08,2e-08,1e-08,2e-08,1867.16,0
9,2021-04-30,1e-08,2e-08,1e-08,2e-08,2259.41,0
10,2021-04-29,2e-08,2e-08,1e-08,1e-08,2769.14,0
11,2021-04-28,2e-08,2e-08,1e-08,2e-08,207.38,0
12,2021-04-27,2e-08,2e-08,2e-08,2e-08,665.32,0
13,2021-04-26,2e-08,3e-08,2e-08,2e-08,2500.7,0
14,2021-04-25,3e-08,3e-08,2e-08,2e-08,773.98,0
15,2021-04-24,2e-08,4e-08,2e-08,3e-08,2275.99,0
16,2021-04-23,3e-08,3e-08,1e-08,2e-08,5376.22,0
17,2021-04-22,3e-08,4e-08,2e-08,3e-08,4966.21,0
18,2021-04-21,8e-08,8e-08,2e-08,3e-08,30452.11,0
19,2021-04-20,5e-08,1e-07,5e-08,8e-08,38244.8,0
