,Date,Open,High,Low,Close,Volume,Market Cap
0,2021-05-09,5.37377854,6.17899029,5.12152495,5.60963012,261545.01,0
1,2021-05-08,5.04949406,6.20536832,4.7500189,5.3546034,430465.87,0
2,2021-05-07,4.80595228,5.30453329,4.502183,5.04490678,220178.9,0
3,2021-05-06,4.65647914,4.8609596,4.06064768,4.7496846,199894.72,0
4,2021-05-05,3.57984891,4.72757985,3.56120901,4.65546633,168055.81,0
5,2021-05-04,4.19095061,4.19095061,3.5290763,3.57720972,128033.99,0
6,2021-05-03,4.36309065,5.05523044,3.89668893,4.20747233,232793.47,0
7,2021-05-02,3.98338093,4.43275186,3.72739975,4.36041805,186077.49,0
8,2021-05-01,3.7792068,4.46630739,3.68991119,3.98932456,232500.91,0
9,2021-04-30,3.92800266,4.11174275,3.46833425,3.77351473,194699.37,0
10,2021-04-29,3.40706515,3.95847217,3.33569077,3.93035796,147396.42,0
11,2021-04-28,3.55281267,3.75008828,3.05954945,3.40694712,321062.94,0
12,2021-04-27,3.94812153,4.15515861,3.40128522,3.55051564,355108.68,0
13,2021-04-26,3.64381082,4.27742592,3.42381208,3.94038722,1327581.02,0
14,2021-04-25,3.88257939,3.96017947,3.58722498,3.63644748,309340.32,0
15,2021-04-24,4.00024239,4.66740348,3.74882488,3.88210059,806524.32,0
16,2021-04-23,4.62558521,5.22763972,2.91671258,4.00102851,1757474.34,0
17,2021-04-22,3.17762864,4.84208125,3.13156121,4.62657911,1958800.55,0
18,2021-04-21,2.83586385,4.5708071,2.60191334,3.17872169,1013923.35,0
19,2021-04-20,2.85167006,2.92220354,2.54843182,2.83428602,1284203.92,0
20,2021-04-19,2.81678355,3.05909282,2.80809862,2.85141824,1146213.09,0
