,Date,Open,High,Low,Close,Volume,Market Cap
0,2021-05-09,4.359e-05,0.00012701,4.043e-05,9.075e-05,316346.3,0
1,2021-05-08,3.714e-05,4.513e-05,3.419e-05,4.352e-05,18738.57,0
2,2021-05-07,3.764e-05,3.83e-05,3.602e-05,3.713e-05,1349.95,0
3,2021-05-06,3.803e-05,3.913e-05,3.684e-05,3.765e-05,2200.28,0
4,2021-05-05,3.589e-05,3.808e-05,3.579e-05,3.802e-05,3796.54,0
5,2021-05-04,3.76e-05,3.881e-05,3.516e-05,3.59e-05,4714.42,0
6,2021-05-03,3.439e-05,3.889e-05,3.362e-05,3.76e-05,22842.49,0
7,2021-05-02,4.266e-05,4.314e-05,3.143e-05,3.37e-05,14678.69,0
8,2021-05-01,3.955e-05,4.412e-05,3.923e-05,4.265e-05,12609.51,0
9,2021-04-30,4.922e-05,4.926e-05,3.719e-05,3.955e-05,46881.04,0
10,2021-04-29,5.323e-05,5.386e-05,4.859e-05,4.925e-05,10319.76,0
11,2021-04-28,4.792e-05,5.503e-05,4.694e-05,5.323e-05,22151.23,0
12,2021-04-27,4.507e-05,4.802e-05,4.333e-05,4.792e-05,8355.9,0
13,2021-04-26,4.051e-05,4.801e-05,4.051e-05,4.507e-05,38107.44,0
14,2021-04-25,4.185e-05,4.374e-05,3.834e-05,4.052e-05,20915.76,0
15,2021-04-24,4.372e-05,4.377e-05,3.669e-05,4.185e-05,42734.37,0
16,2021-04-23,4.819e-05,5.078e-05,3.807e-05,4.371e-05,0.0,0
17,2021-04-22,6.109e-05,6.29e-05,4.799e-05,4.82e-05,30426.2,0
18,2021-04-21,7.33e-05,7.436e-05,5.455e-05,6.101e-05,104013.03,0
19,2021-04-20,0.00013023,0.00013023,6.429e-05,7.309e-05,329885.09,0
20,2021-04-19,7.579e-05,0.00018804,6.435e-05,0.00012984,645294.55,0
21,2021-04-18,0.00011398,0.00015284,7.508e-05,7.574e-05,439244.01,0
22,2021-04-17,3.842e-05,0.0002347,3.661e-05,0.00011409,2246401.12,0
23,2021-04-16,2.438e-05,5.682e-05,2.438e-05,3.84e-05,305944.94,0
24,2021-04-15,2.023e-05,2.537e-05,2.014e-05,2.44e-05,19608.04,0
25,2021-04-14,1.837e-05,2.042e-05,1.829e-05,2.023e-05,5455.26,0
26,2021-04-13,1.677e-05,1.983e-05,1.677e-05,1.832e-05,7526.23,0
27,2021-04-12,1.691e-05,1.715e-05,1.649e-05,1.677e-05,1118.47,0
28,2021-04-11,1.681e-05,1.708e-05,1.634e-05,1.692e-05,2152.95,0
29,2021-04-10,1.523e-05,1.767e-05,1.517e-05,1.681e-05,6100.16,0
30,2021-04-09,1.725e-05,1.848e-05,1.409e-05,1.522e-05,15025.6,0
31,2021-04-08,1.661e-05,1.726e-05,1.644e-05,1.726e-05,3046.28,0
32,2021-04-07,1.783e-05,1.857e-05,1.622e-05,1.667e-05,5564.83,0
33,2021-04-06,1.848e-05,2.017e-05,1.713e-05,1.783e-05,9864.29,0
34,2021-04-05,2.549e-05,2.549e-05,1.844e-05,1.847e-05,13986.56,0
35,2021-04-04,2.624e-05,2.782e-05,2.543e-05,2.551e-05,6888.76,0
36,2021-04-03,2.563e-05,2.861e-05,2.5e-05,2.633e-05,17714.94,0
37,2021-04-02,2.549e-05,2.587e-05,2.319e-05,2.557e-05,5240.06,0
38,2021-04-01,2.849e-05,2.992e-05,2.493e-05,2.535e-05,14650.06,0
39,2021-03-31,2.945e-05,3.67e-05,2.722e-05,2.856e-05,34388.8,0
40,2021-03-30,3.701e-05,3.953e-05,2.659e-05,2.946e-05,28599.56,0
41,2021-03-29,2.512e-05,5.906e-05,2.512e-05,3.701e-05,127457.11,0
